Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,61174X109,MNST ,"7,316,372","605,649,274.16",0.324,Monster Beverage Corp,Common Stock,Consumer Staples,02/15/2022
QQQ,23804L103,DDOG ,"3,556,287","600,976,940.13",0.321,Datadog Inc,Common Stock,Information Technology,02/15/2022
QQQ,45168D104,IDXX ,"1,172,371","598,929,172.77",0.320,IDEXX Laboratories Inc,Common Stock,Health Care,02/15/2022
QQQ,704326107,PAYX ,"4,985,982","598,866,298.02",0.320,Paychex Inc,Common Stock,Information Technology,02/15/2022
QQQ,025537101,AEP ,"6,963,774","594,984,850.56",0.318,American Electric Power Co Inc,Common Stock,Utilities,02/15/2022
QQQ,500754106,KHC ,"16,924,836","586,953,312.48",0.314,Kraft Heinz Co/The,Common Stock,Consumer Staples,02/15/2022
QQQ,931427108,WBA ,"11,968,783","578,092,218.90",0.309,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,02/15/2022
QQQ,016255101,ALGN ,"1,090,257","575,917,357.68",0.308,Align Technology Inc,Common Stock,Health Care,02/15/2022
QQQ,595017104,MCHP ,"7,672,140","575,257,057.20",0.307,Microchip Technology Inc,Common Stock,Information Technology,02/15/2022
QQQ,30161N101,EXC ,"13,527,112","564,621,654.88",0.302,Exelon Corp,Common Stock,Utilities,02/15/2022
QQQ,056752108,BIDU ,"3,356,202","560,015,865.72",0.299,Baidu Inc ADR,American Depository Receipt,Communication Services,02/15/2022
QQQ,127387108,CDNS ,"3,832,098","559,754,554.86",0.299,Cadence Design Systems Inc,Common Stock,Information Technology,02/15/2022
QQQ,252131107,DXCM ,"1,340,106","559,507,656.06",0.299,Dexcom Inc,Common Stock,Health Care,02/15/2022
QQQ,98980G102,ZS ,"1,936,532","553,499,576.24",0.296,Zscaler Inc,Common Stock,Information Technology,02/15/2022
QQQ,550021109,LULU ,"1,722,969","548,162,587.35",0.293,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,02/15/2022
QQQ,172908105,CTAS ,"1,429,813","540,111,860.75",0.289,Cintas Corp,Common Stock,Industrials,02/15/2022
QQQ,22788C105,CRWD ,"2,846,024","538,752,343.20",0.288,Crowdstrike Holdings Inc,Common Stock,Information Technology,02/15/2022
QQQ,285512109,EA ,"3,910,369","525,944,630.50",0.281,Electronic Arts Inc,Common Stock,Communication Services,02/15/2022
QQQ,278642103,EBAY ,"8,655,675","518,734,602.75",0.277,eBay Inc,Common Stock,Consumer Discretionary,02/15/2022
QQQ,98389B100,XEL ,"7,448,244","492,477,893.28",0.263,Xcel Energy Inc,Common Stock,Utilities,02/15/2022
QQQ,98980L101,ZM ,"3,349,382","492,024,215.80",0.263,Zoom Video Communications Inc,Common Stock,Information Technology,02/15/2022
QQQ,679580100,ODFL ,"1,590,291","473,286,504.51",0.253,Old Dominion Freight Line Inc,Common Stock,Industrials,02/15/2022
QQQ,778296103,ROST ,"4,913,586","472,637,837.34",0.253,Ross Stores Inc,Common Stock,Consumer Discretionary,02/15/2022
QQQ,57667L107,MTCH ,"3,914,327","463,612,889.88",0.248,Match Group Inc,Common Stock,Communication Services,02/15/2022
QQQ,693718108,PCAR ,"4,800,351","452,769,106.32",0.242,PACCAR Inc,Common Stock,Industrials,02/15/2022
QQQ,09062X103,BIIB ,"2,031,106","441,501,511.22",0.236,Biogen Inc,Common Stock,Health Care,02/15/2022
QQQ,92345Y106,VRSK ,"2,228,366","432,904,662.82",0.231,Verisk Analytics Inc,Common Stock,Industrials,02/15/2022
QQQ,256746108,DLTR ,"3,110,438","428,587,252.02",0.229,Dollar Tree Inc,Common Stock,Consumer Discretionary,02/15/2022
QQQ,217204106,CPRT ,"3,279,587","415,786,039.86",0.222,Copart Inc,Common Stock,Industrials,02/15/2022
QQQ,311900104,FAST ,"7,952,794","414,897,262.98",0.222,Fastenal Co,Common Stock,Industrials,02/15/2022
QQQ,679295105,OKTA ,"2,041,092","398,890,609.56",0.213,Okta Inc,Common Stock,Information Technology,02/15/2022
QQQ,03662Q105,ANSS ,"1,206,409","392,348,334.98",0.210,ANSYS Inc,Common Stock,Information Technology,02/15/2022
QQQ,64110W102,NTES ,"3,917,609","391,290,786.92",0.209,NetEase Inc ADR,American Depository Receipt,Communication Services,02/15/2022
QQQ,722304102,PDD ,"5,748,505","351,980,961.15",0.188,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,02/15/2022
QQQ,82968B103,SIRI ,"55,300,946","342,865,865.20",0.183,Sirius XM Holdings Inc,Common Stock,Communication Services,02/15/2022
QQQ,256163106,DOCU ,"2,719,977","341,547,511.89",0.183,DocuSign Inc,Common Stock,Information Technology,02/15/2022
QQQ,92343E102,VRSN ,"1,535,889","332,212,790.70",0.178,VeriSign Inc,Common Stock,Information Technology,02/15/2022
QQQ,81181C104,SGEN ,"2,528,343","325,448,310.96",0.174,Seagen Inc,Common Stock,Health Care,02/15/2022
QQQ,83088M102,SWKS ,"2,286,887","319,226,556.33",0.171,Skyworks Solutions Inc,Common Stock,Information Technology,02/15/2022
QQQ,848637104,SPLK ,"2,233,500","276,819,990.00",0.148,Splunk Inc,Common Stock,Information Technology,02/15/2022
QQQ,21037T109,CEG ,"4,509,037","216,433,776.00",0.116,Constellation Energy Corp,Common Stock,Utilities,02/15/2022
